Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
444,Pedro Pereira,pt POR,"MF,DF",Monza,25,1998,9.3,,13,,,,,,,,,,,4,,,,Matches
445,Roberto Pereyra,ar ARG,"FW,MF",Udinese,32,1991,20.6,,10,,,,,,,,,,,7,,,,Matches
446,Nehuén Pérez,ar ARG,DF,Udinese,23,2000,36.0,,49,,,,,,,,,,,45,,,,Matches
447,Simone Perilli,it ITA,GK,Hellas Verona,28,1995,1.0,,0,,,,,,,,,,,0,,,,Matches
448,Mattia Perin,it ITA,GK,Juventus,30,1992,2.5,,0,,,,,,,,,,,0,,,,Matches
449,Samuele Perisan,it ITA,GK,Empoli,25,1997,1.0,,0,,,,,,,,,,,0,,,,Matches
450,Matteo Pessina,it ITA,MF,Monza,26,1997,35.8,,25,,,,,,,,,,,27,,,,Matches
451,Andrea Petagna,it ITA,FW,Cagliari,28,1995,11.1,,2,,,,,,,,,,,1,,,,Matches
452,Giuseppe Pezzella,it ITA,"MF,DF",Empoli,25,1997,12.1,,14,,,,,,,,,,,2,,,,Matches
453,Roberto Piccoli,it ITA,FW,Lecce,22,2001,15.3,,7,,,,,,,,,,,3,,,,Matches
454,Roberto Piccoli,it ITA,FW,Empoli,22,2001,0.4,,1,,,,,,,,,,,0,,,,Matches
455,Santiago Pierotti,ar ARG,"FW,MF",Lecce,22,2001,2.2,,8,,,,,,,,,,,1,,,,Matches
456,Niccolò Pierozzi,it ITA,DF,Salernitana,21,2001,9.7,,10,,,,,,,,,,,11,,,,Matches
457,Andrea Pinamonti,it ITA,FW,Sassuolo,24,1999,34.2,,9,,,,,,,,,,,1,,,,Matches
458,Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,0.5,,0,,,,,,,,,,,0,,,,Matches
459,Lorenzo Pirola,it ITA,DF,Salernitana,21,2002,22.1,,22,,,,,,,,,,,25,,,,Matches
460,Niccolò Pisilli,it ITA,MF,Roma,18,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
461,Tommaso Pobega,it ITA,"MF,DF",Milan,24,1999,3.5,,9,,,,,,,,,,,5,,,,Matches
462,Paul Pogba,fr FRA,MF,Juventus,30,1993,0.6,,0,,,,,,,,,,,1,,,,Matches
463,Matteo Politano,it ITA,FW,Napoli,29,1993,26.2,,9,,,,,,,,,,,15,,,,Matches
464,Marin Pongračić,hr CRO,DF,Lecce,25,1997,35.8,,27,,,,,,,,,,,50,,,,Matches
465,Stefan Posch,at AUT,DF,Bologna,26,1997,26.8,,45,,,,,,,,,,,18,,,,Matches
466,Matteo Prati,it ITA,MF,Cagliari,19,2003,21.9,,25,,,,,,,,,,,14,,,,Matches
467,Ivan Provedel,it ITA,GK,Lazio,29,1994,30.0,,0,,,,,,,,,,,0,,,,Matches
468,Christian Pulisic,us USA,"MF,FW",Milan,24,1998,28.9,,25,,,,,,,,,,,10,,,,Matches
469,George Pușcaș,ro ROU,FW,Genoa,27,1996,2.1,,0,,,,,,,,,,,0,,,,Matches
470,Domingos Quina,pt POR,MF,Udinese,23,1999,0.1,,1,,,,,,,,,,,0,,,,Matches
471,Adrien Rabiot,fr FRA,MF,Juventus,28,1995,29.5,,39,,,,,,,,,,,25,,,,Matches
