Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
61,El Bilal Touré,ml MLI,FW,Atalanta,21,2001,4.4,2,0,0,13,8,3,2,1,1,,,0,Matches
62,Cristiano Biraghi,it ITA,DF,Fiorentina,30,1992,26.2,8,0,0,44,14,1,225,15,30,,,0,Matches
63,Davide Biraschi,it ITA,DF,Genoa,29,1994,1.0,0,0,0,0,2,0,0,3,3,,,0,Matches
64,Samuele Birindelli,it ITA,"MF,DF",Monza,24,1999,22.4,7,0,0,30,32,1,55,16,20,,,0,Matches
65,Alexis Blin,fr FRA,MF,Lecce,26,1996,18.2,4,0,0,25,22,0,11,21,21,,,0,Matches
66,Jérôme Boateng,de GER,DF,Salernitana,34,1988,2.6,0,0,0,2,0,1,1,4,0,,,0,Matches
67,Emil Bohinen,no NOR,MF,Salernitana,24,1999,5.9,1,0,0,5,6,0,2,14,6,,,0,Matches
68,Emil Bohinen,no NOR,MF,Genoa,24,1999,0.6,0,0,0,0,0,0,2,0,1,,,0,Matches
69,Daniel Boloca,ro ROU,MF,Sassuolo,24,1998,22.5,6,1,0,25,7,0,8,15,33,,,0,Matches
70,Giacomo Bonaventura,it ITA,MF,Fiorentina,33,1989,25.3,6,0,0,20,35,1,55,12,13,,,0,Matches
71,Federico Bonazzoli,it ITA,FW,Hellas Verona,26,1997,11.3,2,0,0,10,20,9,6,3,1,,,0,Matches
72,Warren Bondo,fr FRA,MF,Monza,19,2003,16.4,9,0,0,31,19,0,2,6,23,,,0,Matches
73,Giovanni Bonfanti,it ITA,DF,Atalanta,20,2003,1.0,0,0,0,2,1,0,2,1,2,,,0,Matches
74,Kevin Bonifazi,it ITA,DF,Frosinone,27,1996,3.4,0,0,0,4,1,0,0,3,3,,,0,Matches
75,Kevin Bonifazi,it ITA,DF,Bologna,27,1996,1.0,0,0,0,1,1,0,0,0,0,,,0,Matches
76,Gennaro Borrelli,it ITA,FW,Frosinone,23,2000,0.3,0,0,0,0,0,2,1,0,0,,,0,Matches
77,Erik Botheim,no NOR,"FW,MF",Salernitana,23,2000,3.5,1,0,0,2,11,0,1,0,0,,,0,Matches
78,Mehdi Bourabia,ma MAR,MF,Frosinone,31,1991,2.2,1,0,0,5,1,1,3,1,4,,,0,Matches
79,Edoardo Bove,it ITA,MF,Roma,21,2002,19.8,2,0,0,31,37,1,8,10,31,,,0,Matches
80,Domagoj Bradarić,hr CRO,"MF,DF",Salernitana,23,1999,30.5,5,0,0,14,34,0,81,31,21,,,0,Matches
81,Josip Brekalo,hr CRO,MF,Fiorentina,25,1998,7.2,0,0,0,13,6,1,22,1,6,,,0,Matches
82,Gleison Bremer,br BRA,DF,Juventus,26,1997,35.9,9,0,0,60,17,2,1,36,44,,,0,Matches
83,Brenner,br BRA,"MF,FW",Udinese,23,2000,2.1,0,0,0,0,3,1,1,0,6,,,0,Matches
84,Marco Brescianini,it ITA,MF,Frosinone,23,2000,25.8,1,0,0,35,24,5,20,9,12,,,0,Matches
85,Dylan Bronn,tn TUN,DF,Salernitana,28,1995,0.6,0,0,0,0,2,0,0,0,0,,,0,Matches
86,Tajon Buchanan,ca CAN,"DF,MF",Inter,24,1999,1.8,0,0,0,1,6,1,11,0,1,,,0,Matches
87,Alessandro Buongiorno,it ITA,DF,Torino,24,1999,28.1,7,0,0,69,39,1,3,72,39,,,0,Matches
88,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
89,Jovane Cabral,cv CPV,"MF,FW",Salernitana,25,1998,7.5,1,0,0,19,13,6,14,1,9,,,0,Matches
90,Liberato Cacace,nz NZL,"DF,MF",Empoli,22,2000,21.2,6,0,0,30,18,1,66,19,23,,,0,Matches
91,Jens Cajuste,se SWE,MF,Napoli,23,1999,11.3,7,0,0,29,11,1,6,3,22,,,0,Matches
92,Davide Calabria,it ITA,DF,Milan,26,1996,24.3,5,2,1,25,19,0,35,21,40,,,0,Matches
93,Riccardo Calafiori,it ITA,DF,Bologna,21,2002,26.1,4,0,0,35,27,2,9,51,31,,,1,Matches
94,Mattia Caldara,it ITA,DF,Milan,29,1994,0.4,0,0,0,0,0,0,0,1,1,,,0,Matches
95,Luca Caldirola,it ITA,DF,Monza,32,1991,23.8,7,1,1,24,17,1,4,25,14,,,0,Matches
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,29,1994,28.4,5,0,0,42,23,0,152,22,37,,,0,Matches
97,Francesco Camarda,it ITA,FW,Milan,15,2008,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
98,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,22,2000,28.4,3,0,0,48,76,3,133,14,40,,,0,Matches
99,Andrea Cambiaso,it ITA,MF,Juventus,23,2000,26.4,10,0,0,35,20,4,82,11,30,,,0,Matches
100,Matteo Cancellieri,it ITA,"FW,MF",Empoli,21,2002,19.9,7,0,0,35,52,13,42,5,24,,,0,Matches
