Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
134,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,33,25,2140,23.8,4,1,5,4,0,0,12,0,0.17,0.04,0.21,0.17,0.21,Matches
135,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,34,31,2435,27.1,3,1,4,3,0,0,3,1,0.11,0.04,0.15,0.11,0.15,Matches
137,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,25,21,1779,19.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
138,Santi Comesaña,es ESP,MF,Villarreal,27,1996,35,30,2560,28.4,4,2,6,4,0,0,7,0,0.14,0.07,0.21,0.14,0.21,Matches
139,Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,1962,21.8,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
141,Copete,es ESP,DF,Mallorca,24,1999,25,16,1528,17.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Coba da Costa,es ESP,MF,Getafe,22,2002,19,12,1006,11.2,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
146,Logan Costa,cv CPV,DF,Villarreal,23,2001,32,28,2587,28.7,2,1,3,2,0,0,3,0,0.07,0.03,0.10,0.07,0.10,Matches
147,Samu Costa,pt POR,MF,Mallorca,23,2000,32,31,2649,29.4,0,2,2,0,0,0,10,1,0.00,0.07,0.07,0.00,0.07,Matches
148,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,25,19,1492,16.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
150,Juan Cruz,es ESP,"MF,DF",Leganés,24,2000,34,26,2257,25.1,5,4,9,5,0,0,2,0,0.20,0.16,0.36,0.20,0.36,Matches
151,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,35,29,2618,29.1,0,3,3,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
152,Cucho,co COL,FW,Real Betis,25,1999,15,14,1139,12.7,5,1,6,5,0,0,0,0,0.40,0.08,0.47,0.40,0.47,Matches
153,Arnaut Danjuma,nl NED,"MF,FW",Girona,27,1997,25,15,1335,14.8,2,0,2,2,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches
155,Sergi Darder,es ESP,MF,Mallorca,30,1993,38,34,2744,30.5,2,6,8,2,0,0,4,0,0.07,0.20,0.26,0.07,0.26,Matches
156,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,34,23,2106,23.4,3,5,8,3,0,0,7,0,0.13,0.21,0.34,0.13,0.34,Matches
159,Moussa Diarra,ml MLI,DF,Alavés,23,2000,26,20,1866,20.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
160,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,24,1999,31,16,1385,15.4,4,2,6,4,0,0,0,0,0.26,0.13,0.39,0.26,0.39,Matches
162,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,26,12,1211,13.5,3,0,3,3,0,1,2,0,0.22,0.00,0.22,0.22,0.22,Matches
163,Diego,es ESP,"FW,MF",Leganés,24,2000,28,13,1195,13.3,3,0,3,3,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches
167,Djené,tg TOG,"DF,MF",Getafe,32,1991,31,31,2548,28.3,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches
168,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,19,13,1181,13.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
174,Domingos Duarte,pt POR,DF,Getafe,29,1995,22,21,1859,20.7,1,0,1,1,0,0,4,2,0.05,0.00,0.05,0.05,0.05,Matches
176,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,27,15,1394,15.5,4,4,8,4,0,0,3,0,0.26,0.26,0.52,0.26,0.52,Matches
177,Hugo Duro,es ESP,FW,Valencia,24,1999,31,25,2166,24.1,11,2,13,10,1,1,5,0,0.46,0.08,0.54,0.42,0.50,Matches
178,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,26,1998,25,9,966,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,Matches
179,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,22,16,1457,16.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
180,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,32,1992,35,18,1607,17.9,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches
183,Dario Essugo,pt POR,MF,Las Palmas,19,2005,27,25,1938,21.5,1,0,1,1,0,0,11,2,0.05,0.00,0.05,0.05,0.05,Matches
186,Edu Expósito,es ESP,MF,Espanyol,27,1996,19,12,1045,11.6,0,2,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches
187,Abde Ezzalzouli,ma MAR,MF,Real Betis,22,2001,32,23,1984,22.0,2,2,4,2,0,1,2,0,0.09,0.09,0.18,0.09,0.18,Matches
190,Kiko Femenía,es ESP,DF,Villarreal,33,1991,28,27,2227,24.7,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches
194,Roberto Férnandez,es ESP,FW,Espanyol,22,2002,19,18,1497,16.6,6,0,6,6,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches
198,Pablo Fornals,es ESP,MF,Real Betis,28,1996,26,22,1827,20.3,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
200,Dimitri Foulquier,fr FRA,DF,Valencia,31,1993,32,25,2299,25.5,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches
201,Juan Foyth,ar ARG,DF,Villarreal,26,1998,19,17,1517,16.9,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
203,Alejandro Francés,es ESP,DF,Girona,21,2002,18,13,1173,13.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
205,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,27,1997,36,30,2495,27.7,6,3,9,6,0,0,3,1,0.22,0.11,0.32,0.22,0.32,Matches
207,Manuel Fuster,es ESP,"MF,FW",Las Palmas,26,1997,28,8,1003,11.1,2,1,3,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,Matches
208,Javi Galán,es ESP,DF,Atlético Madrid,29,1994,25,21,1784,19.8,0,3,3,0,0,0,8,0,0.00,0.15,0.15,0.00,0.15,Matches
209,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,30,1993,26,18,1477,16.4,0,4,4,0,0,0,5,0,0.00,0.24,0.24,0.00,0.24,Matches
210,Conor Gallagher,eng ENG,MF,Atlético Madrid,24,2000,32,19,1633,18.1,3,3,6,3,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches
212,Álvaro García,es ESP,"MF,FW",Rayo Vallecano,31,1992,36,28,2559,28.4,4,5,9,4,0,0,4,0,0.14,0.18,0.32,0.14,0.32,Matches
213,Eric García,es ESP,"DF,MF",Barcelona,23,2001,29,14,1566,17.4,2,3,5,2,0,0,4,0,0.11,0.17,0.29,0.11,0.29,Matches
214,Fran Garcia,es ESP,DF,Real Madrid,24,1999,31,24,2171,24.1,0,2,2,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches
216,Joan García,es ESP,GK,Espanyol,23,2001,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
218,Rubén García,es ESP,"FW,MF",Osasuna,31,1993,36,30,2413,26.8,5,5,10,5,0,0,2,0,0.19,0.19,0.37,0.19,0.37,Matches
