Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
446,Dayot Upamecano,fr FRA,DF,Bayern Munich,25,1998,19.5,,,,,,,,,,,,,,,0,,,,,,Matches
447,Jonas Urbig,de GER,GK,Bayern Munich,20,2003,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
448,Can Uzun,tr TUR,MF,Eintracht Frankfurt,18,2005,7.5,,,,,,,,,,,,,,,1,,,,,,Matches
449,Josha Vagnoman,de GER,"DF,MF",Stuttgart,23,2000,20.4,,,,,,,,,,,,,,,1,,,,,,Matches
450,Siebe Van Der Heyden,be BEL,"DF,MF",St Pauli,26,1998,9.7,,,,,,,,,,,,,,,0,,,,,,Matches
451,Maarten Vandevoordt,be BEL,GK,RB Leipzig,22,2002,4.8,,,,,,,,,,,,,,,0,,,,,,Matches
452,Ruben Vargas,ch SUI,MF,Augsburg,25,1998,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
453,Nikola Vasilj,ba BIH,GK,St Pauli,28,1995,33.0,,,,,,,,,,,,,,,0,,,,,,Matches
454,Denis Vavro,sk SVK,DF,Wolfsburg,28,1996,27.3,,,,,,,,,,,,,,,0,,,,,,Matches
455,Miloš Veljković,rs SRB,DF,Werder Bremen,28,1995,11.4,,,,,,,,,,,,,,,1,,,,,,Matches
456,Nikolas Veratschnig,at AUT,MF,Mainz 05,21,2003,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
457,Arthur Vermeeren,be BEL,MF,RB Leipzig,19,2005,17.5,,,,,,,,,,,,,,,2,,,,,,Matches
458,Yorbe Vertessen,be BEL,"MF,FW",Union Berlin,23,2001,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
459,Gabriel Vidovic,hr CRO,MF,Mainz 05,20,2003,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
460,Gabriel Vidovic,hr CRO,MF,Bayern Munich,20,2003,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
461,Kevin Vogt,de GER,DF,Union Berlin,32,1991,15.2,,,,,,,,,,,,,,,0,,,,,,Matches
462,Kevin Volland,de GER,"FW,MF",Union Berlin,32,1992,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
463,Aster Vranckx,be BEL,MF,Wolfsburg,21,2002,6.2,,,,,,,,,,,,,,,0,,,,,,Matches
464,Robert Wagner,de GER,MF,St Pauli,21,2003,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
465,Elye Wahi,fr FRA,FW,Eintracht Frankfurt,21,2003,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
466,Hauke Wahl,de GER,DF,St Pauli,30,1994,33.0,,,,,,,,,,,,,,,0,,,,,,Matches
467,Paul Wanner,de GER,"MF,FW",Heidenheim,18,2005,19.7,,,,,,,,,,,,,,,2,,,,,,Matches
468,Kjell-Arik Wätjen,de GER,MF,Dortmund,18,2006,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
469,Julian Weigl,de GER,MF,Gladbach,28,1995,32.0,,,,,,,,,,,,,,,2,,,,,,Matches
470,Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25.0,,,,,,,,,,,,,,,0,,,,,,Matches
471,Nelson Weiper,de GER,FW,Mainz 05,19,2005,7.8,,,,,,,,,,,,,,,2,,,,,,Matches
472,Mitchell Weiser,de GER,MF,Werder Bremen,30,1994,31.9,,,,,,,,,,,,,,,9,,,,,,Matches
473,Noah Weißhaupt,de GER,"FW,MF",Freiburg,22,2001,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
474,Noah Weißhaupt,de GER,"FW,MF",St Pauli,22,2001,12.9,,,,,,,,,,,,,,,0,,,,,,Matches
475,Silvan Widmer,ch SUI,MF,Mainz 05,31,1993,5.6,,,,,,,,,,,,,,,1,,,,,,Matches
476,Patrick Wimmer,at AUT,"MF,FW",Wolfsburg,23,2001,19.7,,,,,,,,,,,,,,,4,,,,,,Matches
477,Jonas Wind,dk DEN,"FW,MF",Wolfsburg,25,1999,21.8,,,,,,,,,,,,,,,3,,,,,,Matches
478,Florian Wirtz,de GER,MF,Leverkusen,21,2003,26.1,,,,,,,,,,,,,,,12,,,,,,Matches
479,Dani de Wit,nl NED,"MF,FW",Bochum,26,1998,12.8,,,,,,,,,,,,,,,1,,,,,,Matches
480,Maximilian Wittek,de GER,"DF,MF",Bochum,28,1995,30.1,,,,,,,,,,,,,,,0,,,,,,Matches
481,Marius Wolf,de GER,MF,Augsburg,29,1995,23.8,,,,,,,,,,,,,,,3,,,,,,Matches
482,Nick Woltemade,de GER,"FW,MF",Stuttgart,22,2002,18.0,,,,,,,,,,,,,,,2,,,,,,Matches
483,Jeong Woo-yeong,kr KOR,"MF,FW",Union Berlin,24,1999,14.0,,,,,,,,,,,,,,,2,,,,,,Matches
484,Granit Xhaka,ch SUI,MF,Leverkusen,31,1992,32.1,,,,,,,,,,,,,,,7,,,,,,Matches
485,Erencan Yardimci,tr TUR,FW,Hoffenheim,22,2002,3.5,,,,,,,,,,,,,,,0,,,,,,Matches
486,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,25,1999,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
487,David Zec,si SVN,DF,Holstein Kiel,24,2000,17.1,,,,,,,,,,,,,,,0,,,,,,Matches
488,Robin Zentner,de GER,GK,Mainz 05,29,1994,32.0,,,,,,,,,,,,,,,0,,,,,,Matches
489,Cedric Zesiger,ch SUI,DF,Augsburg,26,1998,13.6,,,,,,,,,,,,,,,2,,,,,,Matches
490,Cedric Zesiger,ch SUI,DF,Wolfsburg,26,1998,5.8,,,,,,,,,,,,,,,0,,,,,,Matches
491,Michael Zetterer,de GER,GK,Werder Bremen,29,1995,34.0,,,,,,,,,,,,,,,0,,,,,,Matches
492,Budu Zivzivadze,ge GEO,FW,Heidenheim,30,1994,10.6,,,,,,,,,,,,,,,3,,,,,,Matches
