Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
502,Adrien Thomasson,fr FRA,MF,Lens,29,1993,13.3,1,31,6,19.4,2.34,0.45,0.03,0.17,0,0,Matches
503,Khéphren Thuram,fr FRA,MF,Nice,22,2001,23.4,1,39,11,28.2,1.67,0.47,0.03,0.09,0,0,Matches
504,Cheikh Tidiane Sabaly,sn SEN,"MF,FW",Metz,24,1999,15.3,3,21,9,42.9,1.37,0.59,0.14,0.33,0,0,Matches
505,Jean-Clair Todibo,fr FRA,DF,Nice,23,1999,29.5,0,9,1,11.1,0.31,0.03,0.00,0.00,0,0,Matches
506,Corentin Tolisso,fr FRA,MF,Lyon,28,1994,19.3,3,39,14,35.9,2.02,0.72,0.05,0.14,1,1,Matches
507,Abdoulaye Touré,gn GUI,MF,Le Havre,29,1994,25.4,2,33,10,30.3,1.30,0.39,0.00,0.00,2,2,Matches
508,Souleymane Touré,fr FRA,DF,Lorient,20,2003,22.8,1,18,9,50.0,0.79,0.39,0.06,0.11,0,0,Matches
509,Bénie Traoré,ci CIV,FW,Nantes,20,2002,5.6,0,7,4,57.1,1.25,0.71,0.00,0.00,0,0,Matches
510,Daouda Traoré,fr FRA,MF,Nice,17,2006,0.2,0,1,0,0.0,5.63,0.00,0.00,,0,0,Matches
511,Ismaël Traoré,ci CIV,DF,Metz,36,1986,24.7,2,10,4,40.0,0.41,0.16,0.20,0.50,0,0,Matches
512,Adrien Truffert,fr FRA,"DF,MF",Rennes,21,2001,23.8,1,20,7,35.0,0.84,0.29,0.05,0.14,0,0,Matches
513,Matthieu Udol,fr FRA,DF,Metz,27,1996,30.0,3,19,8,42.1,0.63,0.27,0.16,0.38,0,0,Matches
514,Manuel Ugarte,uy URU,MF,Paris Saint-Germain,22,2001,21.5,0,10,1,10.0,0.47,0.05,0.00,0.00,0,0,Matches
515,Samuel Umtiti,fr FRA,DF,Lille,29,1993,2.1,0,0,0,,0.00,0.00,,,0,0,Matches
516,Kévin Van Den Kerkhof,dz ALG,"MF,FW",Metz,27,1996,21.3,1,20,7,35.0,0.94,0.33,0.05,0.14,0,0,Matches
517,Vanderson,br BRA,"MF,DF",Monaco,22,2001,18.2,3,30,10,33.3,1.65,0.55,0.10,0.30,0,0,Matches
518,Jordan Veretout,fr FRA,MF,Marseille,30,1993,24.3,1,36,9,25.0,1.48,0.37,0.03,0.11,0,0,Matches
519,Alan Virginius,fr FRA,MF,Lille,20,2003,0.8,0,0,0,,0.00,0.00,,,0,0,Matches
520,Alan Virginius,fr FRA,"MF,FW",Clermont Foot,20,2003,10.4,0,10,6,60.0,0.96,0.58,0.00,0.00,0,0,Matches
521,Vitinha,pt POR,MF,Paris Saint-Germain,23,2000,23.6,7,45,19,42.2,1.90,0.80,0.16,0.37,0,0,Matches
522,Vitinha,pt POR,FW,Marseille,23,2000,10.3,3,37,9,24.3,3.61,0.88,0.08,0.33,0,0,Matches
523,Elye Wahi,fr FRA,FW,Lens,20,2003,18.8,9,60,32,53.3,3.19,1.70,0.13,0.25,1,1,Matches
524,Elye Wahi,fr FRA,FW,Montpellier,20,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
525,Mateusz Wieteska,pl POL,DF,Clermont Foot,26,1997,1.9,1,3,2,66.7,1.55,1.03,0.33,0.50,0,0,Matches
526,Josh Wilson-Esbrand,eng ENG,"DF,MF",Reims,20,2002,5.1,1,4,1,25.0,0.78,0.20,0.25,1.00,0,0,Matches
527,Christopher Wooh,cm CMR,DF,Rennes,21,2001,15.4,1,10,2,20.0,0.65,0.13,0.10,0.50,0,0,Matches
528,Yusuf Yazıcı,tr TUR,"MF,FW",Lille,26,1997,14.6,5,40,14,35.0,2.74,0.96,0.13,0.36,0,0,Matches
529,Kelvin Yeboah,it ITA,FW,Montpellier,23,2000,3.1,0,7,4,57.1,2.28,1.30,0.00,0.00,0,0,Matches
530,Bertuğ Yıldırım,tr TUR,FW,Rennes,21,2002,5.2,0,10,4,40.0,1.92,0.77,0.00,0.00,0,0,Matches
531,Darlin Yongwa,cm CMR,"MF,DF",Lorient,22,2000,12.9,1,15,5,33.3,1.16,0.39,0.07,0.20,0,0,Matches
532,Leny Yoro,fr FRA,DF,Lille,17,2005,29.7,2,14,8,57.1,0.47,0.27,0.14,0.25,0,0,Matches
533,Etienne Youte Kinkoue,fr FRA,DF,Le Havre,21,2002,21.6,0,6,0,0.0,0.28,0.00,0.00,,0,0,Matches
534,Yoram Zague,fr FRA,DF,Paris Saint-Germain,17,2006,4.1,1,2,1,50.0,0.48,0.24,0.50,1.00,0,0,Matches
535,Warren Zaïre-Emery,fr FRA,"MF,DF",Paris Saint-Germain,17,2006,21.8,2,14,4,28.6,0.64,0.18,0.14,0.50,0,0,Matches
536,Denis Zakaria,ch SUI,"MF,DF",Monaco,26,1996,23.7,4,26,10,38.5,1.09,0.42,0.15,0.40,0,0,Matches
537,Mehdi Zeffane,dz ALG,"MF,DF",Clermont Foot,31,1992,13.7,0,19,1,5.3,1.39,0.07,0.00,0.00,0,0,Matches
538,Nathan Zeze,fr FRA,DF,Nantes,18,2005,11.4,0,3,0,0.0,0.26,0.00,0.00,,0,0,Matches
539,Edon Zhegrova,xk KVX,"MF,FW",Lille,24,1999,25.4,6,82,29,35.4,3.23,1.14,0.07,0.21,0,0,Matches
540,Luck Zogbé,ci CIV,DF,Brest,18,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
