Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
205,Mathieu Gorgelin,fr FRA,GK,Le Havre,32,1990,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
206,Amine Gouiri,dz ALG,"FW,MF",Rennes,23,2000,23.0,7,78,27,34.6,3.40,1.18,0.09,0.26,0,0,Matches
207,Jonathan Gradit,fr FRA,DF,Lens,30,1992,23.5,1,4,1,25.0,0.17,0.04,0.25,1.00,0,0,Matches
208,Samuel Grandsir,fr FRA,MF,Le Havre,26,1996,6.7,1,15,6,40.0,2.23,0.89,0.07,0.17,0,1,Matches
209,Adrian Grbić,at AUT,"FW,MF",Lorient,26,1996,0.3,0,2,0,0.0,5.81,0.00,0.00,,0,0,Matches
210,Gabriel Gudmundsson,se SWE,"MF,DF",Lille,24,1999,14.1,1,15,5,33.3,1.07,0.36,0.07,0.20,0,0,Matches
211,Axel Gueguin,fr FRA,DF,Montpellier,18,2005,1.5,0,0,0,,0.00,0.00,,,0,0,Matches
212,Mattéo Guendouzi,fr FRA,MF,Marseille,24,1999,0.2,0,2,2,100.0,9.47,9.47,0.00,0.00,0,0,Matches
213,Evann Guessand,ci CIV,FW,Nice,22,2001,17.3,6,48,23,47.9,2.78,1.33,0.08,0.17,2,2,Matches
214,Pape Gueye,sn SEN,"MF,DF",Marseille,24,1999,8.5,1,8,2,25.0,0.94,0.24,0.13,0.50,0,0,Matches
215,Morgan Guilavogui,gn GUI,FW,Lens,25,1998,6.3,2,21,8,38.1,3.34,1.27,0.10,0.25,0,0,Matches
216,Frederic Guilbert,fr FRA,"DF,MF",Strasbourg,28,1994,27.7,2,21,5,23.8,0.76,0.18,0.10,0.40,0,0,Matches
217,Jaouen Hadjam,dz ALG,DF,Nantes,20,2003,1.2,0,1,0,0.0,0.80,0.00,0.00,,0,0,Matches
218,Massadio Haïdara,ml MLI,"DF,MF",Lens,30,1992,8.2,0,3,0,0.0,0.36,0.00,0.00,,0,0,Matches
219,Oualid El Hajjam,ma MAR,"DF,MF",Le Havre,32,1991,4.4,0,8,3,37.5,1.83,0.69,0.00,0.00,0,0,Matches
220,Achraf Hakimi,ma MAR,"DF,MF",Paris Saint-Germain,24,1998,21.5,4,42,12,28.6,1.96,0.56,0.10,0.33,0,0,Matches
221,Hákon Haraldsson,is ISL,"MF,FW",Lille,20,2003,14.3,2,12,6,50.0,0.84,0.42,0.17,0.33,0,0,Matches
222,Amine Harit,ma MAR,MF,Marseille,26,1997,20.2,1,33,8,24.2,1.63,0.40,0.03,0.13,0,0,Matches
223,Silvan Hefti,ch SUI,"DF,MF",Montpellier,25,1997,7.9,0,4,1,25.0,0.51,0.13,0.00,0.00,0,0,Matches
224,Henrique,br BRA,"DF,MF",Lyon,29,1994,6.7,1,8,3,37.5,1.19,0.44,0.13,0.33,0,0,Matches
225,Luis Henrique,br BRA,"FW,MF",Marseille,21,2001,8.7,1,12,3,25.0,1.38,0.34,0.08,0.33,0,0,Matches
226,Christophe Hérelle,mq MTQ,DF,Metz,30,1992,18.0,0,4,0,0.0,0.22,0.00,0.00,,0,0,Matches
227,Lucas Hernández,fr FRA,DF,Paris Saint-Germain,27,1996,21.2,1,6,2,33.3,0.28,0.09,0.17,0.50,0,0,Matches
228,Andrej Ilic,rs SRB,FW,Lille,23,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
229,Bonke Innocent,ng NGA,MF,Lorient,27,1996,2.3,0,2,1,50.0,0.86,0.43,0.00,0.00,0,0,Matches
230,Ismaily,br BRA,DF,Lille,33,1990,27.4,1,7,4,57.1,0.26,0.15,0.14,0.25,0,0,Matches
231,Yanis Issoufou,fr FRA,FW,Montpellier,16,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
232,Junya Ito,jp JPN,"FW,MF",Reims,30,1993,30.2,3,46,15,32.6,1.53,0.50,0.07,0.20,0,0,Matches
