Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
204,Enric Franquesa,es ESP,"MF,DF",Leganés,27,1997,6.8,,,,,,,,,,,,,,,,,Matches
205,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,27,1997,27.7,,,,,,,,,,,,,,,,,Matches
206,Darío Fuentes,es ESP,DF,Sevilla,21,2003,0.1,,,,,,,,,,,,,,,,,Matches
207,Manuel Fuster,es ESP,"MF,FW",Las Palmas,26,1997,11.1,,,,,,,,,,,,,,,,,Matches
208,Javi Galán,es ESP,DF,Atlético Madrid,29,1994,19.8,,,,,,,,,,,,,,,,,Matches
209,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,30,1993,16.4,,,,,,,,,,,,,,,,,Matches
210,Conor Gallagher,eng ENG,MF,Atlético Madrid,24,2000,18.1,,,,,,,,,,,,,,,,,Matches
211,Facundo Garcés,my MAS,DF,Alavés,24,1999,7.5,,,,,,,,,,,,,,,,,Matches
212,Álvaro García,es ESP,"MF,FW",Rayo Vallecano,31,1992,28.4,,,,,,,,,,,,,,,,,Matches
213,Eric García,es ESP,"DF,MF",Barcelona,23,2001,17.4,,,,,,,,,,,,,,,,,Matches
214,Fran Garcia,es ESP,DF,Real Madrid,24,1999,24.1,,,,,,,,,,,,,,,,,Matches
215,Gonzalo García,es ESP,MF,Real Madrid,20,2004,0.6,,,,,,,,,,,,,,,,,Matches
216,Joan García,es ESP,GK,Espanyol,23,2001,38.0,,,,,,,,,,,,,,,,,Matches
217,Pablo Garcia,es ESP,FW,Real Betis,18,2006,0.4,,,,,,,,,,,,,,,,,Matches
218,Rubén García,es ESP,"FW,MF",Osasuna,31,1993,26.8,,,,,,,,,,,,,,,,,Matches
219,Unai García,es ESP,DF,Osasuna,32,1992,0.7,,,,,,,,,,,,,,,,,Matches
220,Yarek Gasiorowski,es ESP,DF,Valencia,19,2005,10.5,,,,,,,,,,,,,,,,,Matches
221,Gavi,es ESP,MF,Barcelona,19,2004,12.1,,,,,,,,,,,,,,,,,Matches
222,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,35.5,,,,,,,,,,,,,,,,,Matches
223,Bryan Gil,es ESP,"MF,FW",Girona,23,2001,19.1,,,,,,,,,,,,,,,,,Matches
224,Dani Gómez,es ESP,FW,Valencia,26,1998,5.9,,,,,,,,,,,,,,,,,Matches
225,Moi Gómez,es ESP,"MF,FW",Osasuna,30,1994,8.8,,,,,,,,,,,,,,,,,Matches
226,Sergi Gómez,es ESP,DF,Espanyol,32,1992,7.4,,,,,,,,,,,,,,,,,Matches
227,Sergio Gómez,es ESP,MF,Real Sociedad,23,2000,30.4,,,,,,,,,,,,,,,,,Matches
228,Unai Gómez,es ESP,"MF,FW",Athletic Club,21,2003,14.3,,,,,,,,,,,,,,,,,Matches
229,Fabio González,es ESP,MF,Las Palmas,27,1997,0.6,,,,,,,,,,,,,,,,,Matches
230,Peter González,do DOM,MF,Getafe,22,2002,5.3,,,,,,,,,,,,,,,,,Matches
231,Urko González,es ESP,MF,Real Sociedad,23,2001,0.5,,,,,,,,,,,,,,,,,Matches
232,Urko González,es ESP,MF,Espanyol,23,2001,15.3,,,,,,,,,,,,,,,,,Matches
233,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,16.5,,,,,,,,,,,,,,,,,Matches
234,José Gragera,es ESP,MF,Espanyol,23,2000,6.3,,,,,,,,,,,,,,,,,Matches
235,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31.0,,,,,,,,,,,,,,,,,Matches
236,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,27.4,,,,,,,,,,,,,,,,,Matches
237,Florian Grillitsch,at AUT,MF,Valladolid,28,1995,6.9,,,,,,,,,,,,,,,,,Matches
238,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34.0,,,,,,,,,,,,,,,,,Matches
239,Sergi Guardiola,es ESP,FW,Rayo Vallecano,33,1991,4.0,,,,,,,,,,,,,,,,,Matches
240,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,32,1991,27.7,,,,,,,,,,,,,,,,,Matches
241,Javier Guerra,es ESP,MF,Valencia,21,2003,28.7,,,,,,,,,,,,,,,,,Matches
242,Ander Guevara,es ESP,MF,Alavés,27,1997,21.6,,,,,,,,,,,,,,,,,Matches
243,Pape Gueye,sn SEN,"MF,FW",Villarreal,25,1999,24.7,,,,,,,,,,,,,,,,,Matches
244,Hugo Guillamón,es ESP,MF,Valencia,24,2000,4.0,,,,,,,,,,,,,,,,,Matches
245,Carlos Guirao,es ESP,MF,Real Betis,21,2003,1.2,,,,,,,,,,,,,,,,,Matches
246,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,13.9,,,,,,,,,,,,,,,,,Matches
247,Gerard Gumbau,es ESP,MF,Rayo Vallecano,29,1994,9.4,,,,,,,,,,,,,,,,,Matches
248,Jon Guridi,es ESP,MF,Alavés,29,1995,23.1,,,,,,,,,,,,,,,,,Matches
