Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
142,Rúben Dias,pt POR,"DF,MF",Manchester City,26,1997,28.4,,,,,,,,,,,,,,,,,Matches
143,Luis Díaz,co COL,FW,Liverpool,26,1997,29.2,,,,,,,,,,,,,,,,,Matches
144,Eric Dier,eng ENG,DF,Tottenham Hotspur,29,1994,2.2,,,,,,,,,,,,,,,,,Matches
145,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,26.8,,,,,,,,,,,,,,,,,Matches
146,Issa Diop,fr FRA,DF,Fulham,26,1997,15.8,,,,,,,,,,,,,,,,,Matches
147,Axel Disasi,fr FRA,DF,Chelsea,25,1998,28.7,,,,,,,,,,,,,,,,,Matches
148,Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,,,,,,,,,,,,,,,,,Matches
149,Matt Doherty,ie IRL,"MF,DF",Wolves,31,1992,12.8,,,,,,,,,,,,,,,,,Matches
150,Jeremy Doku,be BEL,"MF,FW",Manchester City,21,2002,17.7,,,,,,,,,,,,,,,,,Matches
151,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,25,1998,16.6,,,,,,,,,,,,,,,,,Matches
152,Jamie Donley,nir NIR,MF,Tottenham Hotspur,18,2005,0.0,,,,,,,,,,,,,,,,,Matches
153,Abdoulaye Doucouré,ml MLI,MF,Everton,30,1993,29.2,,,,,,,,,,,,,,,,,Matches
154,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,,,,,,,,,,,,,,,,,Matches
155,Alfie Doughty,eng ENG,"MF,DF",Luton Town,23,1999,32.5,,,,,,,,,,,,,,,,,Matches
156,Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,,,,,,,,,,,,,,,,,Matches
157,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,21,2002,4.8,,,,,,,,,,,,,,,,,Matches
158,Martin Dúbravka,sk SVK,GK,Newcastle United,34,1989,22.1,,,,,,,,,,,,,,,,,Matches
159,Paul Dummett,wls WAL,DF,Newcastle United,31,1991,0.2,,,,,,,,,,,,,,,,,Matches
160,Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,,,,,,,,,,,,,,,,,Matches
161,Jáder Durán,co COL,FW,Aston Villa,19,2003,5.3,,,,,,,,,,,,,,,,,Matches
162,George Earthy,eng ENG,MF,West Ham United,18,2004,0.4,,,,,,,,,,,,,,,,,Matches
163,Ederson,br BRA,GK,Manchester City,29,1993,30.9,,,,,,,,,,,,,,,,,Matches
164,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,17.3,,,,,,,,,,,,,,,,,Matches
165,John Egan,ie IRL,DF,Sheffield United,30,1992,5.4,,,,,,,,,,,,,,,,,Matches
166,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,,,,,,,,,,,,,,,,,Matches
167,Anthony Elanga,se SWE,"MF,FW",Nottingham Forest,21,2002,27.0,,,,,,,,,,,,,,,,,Matches
168,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,15.0,,,,,,,,,,,,,,,,,Matches
169,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,,,,,,,,,,,,,,,,,Matches
170,Emerson,br BRA,DF,Tottenham Hotspur,24,1999,12.9,,,,,,,,,,,,,,,,,Matches
