Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Valentin Rongier,fr FRA,"MF,DF",Marseille,29,1994,25,17,1562,17.4,3,1,4,3,0,0,5,0,0.17,0.06,0.23,0.17,0.23,Matches
452,Pablo Rosario,do DOM,"MF,DF",Nice,27,1997,29,21,1775,19.7,3,1,4,2,1,1,6,1,0.15,0.05,0.20,0.10,0.15,Matches
453,Anthony Rouault,fr FRA,DF,Rennes,23,2001,11,11,972,10.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
455,Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,28,1996,30,21,1923,21.4,4,5,9,4,0,0,1,0,0.19,0.23,0.42,0.19,0.42,Matches
456,Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
457,Mathew Ryan,au AUS,GK,Lens,32,1992,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
459,Falaye Sacko,ml MLI,DF,Montpellier,29,1995,16,14,1233,13.7,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
461,Modibo Sagnan,ml MLI,DF,Montpellier,25,1999,27,24,2141,23.8,2,0,2,2,0,0,10,0,0.08,0.00,0.08,0.08,0.08,Matches
462,Osame Sahraoui,ma MAR,MF,Lille,23,2001,30,10,1293,14.4,3,3,6,3,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches
463,Wesley Saïd,fr FRA,FW,Lens,29,1995,24,11,905,10.1,3,0,3,3,0,0,4,0,0.30,0.00,0.30,0.30,0.30,Matches
464,Théo Sainte-Luce,fr FRA,DF,Montpellier,25,1998,16,11,1018,11.3,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
467,Mohammed Salisu,gh GHA,DF,Monaco,25,1999,15,11,1023,11.4,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
470,Mama Samba Baldé,gw GNB,"FW,MF",Brest,28,1995,27,12,1149,12.8,2,3,5,2,0,0,4,0,0.16,0.23,0.39,0.16,0.39,Matches
471,Brice Samba,fr FRA,GK,Rennes,30,1994,17,17,1529,17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
472,Brice Samba,fr FRA,GK,Lens,30,1994,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
473,Arouna Sangante,sn SEN,DF,Le Havre,22,2002,16,16,1244,13.8,3,0,3,3,0,0,4,1,0.22,0.00,0.22,0.22,0.22,Matches
474,Nhoa Sangui,fr FRA,"DF,MF",Reims,18,2006,26,10,1158,12.9,0,2,2,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,Matches
476,Baptiste Santamaria,fr FRA,MF,Nice,29,1995,13,11,927,10.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
478,Andrey Santos,br BRA,MF,Strasbourg,20,2004,32,32,2855,31.7,10,3,13,10,0,0,8,0,0.32,0.09,0.41,0.32,0.41,Matches
480,Malang Sarr,fr FRA,DF,Lens,25,1999,21,15,1385,15.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
481,Mamadou Sarr,sn SEN,DF,Strasbourg,18,2005,27,27,2365,26.3,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches
483,Téji Savanier,fr FRA,MF,Montpellier,32,1991,31,27,2363,26.3,2,5,7,0,2,2,4,1,0.08,0.19,0.27,0.00,0.19,Matches
