Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,1.0,,,,,,,,,,,,,,,,,,,,,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,1.9,,,,,,,,,,,,,,,,,,,,,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,21.8,,,,,,,,,,,,,,,,,,,,,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,,,,,,,,,,,,,,,,,,,,,Matches
5,Simon Adingra,ci CIV,MF,Brighton,22,2002,12.2,,,,,,,,,,,,,,,,,,,,,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,15.7,,,,,,,,,,,,,,,,,,,,,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
8,Ola Aina,ng NGA,DF,Nottingham Forest,27,1996,33.3,,,,,,,,,,,,,,,,,,,,,Matches
9,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,23,2001,34.5,,,,,,,,,,,,,,,,,,,,,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,16.0,,,,,,,,,,,,,,,,,,,,,Matches
11,Manuel Akanji,ch SUI,"DF,MF",Manchester City,29,1995,22.4,,,,,,,,,,,,,,,,,,,,,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29,1995,7.5,,,,,,,,,,,,,,,,,,,,,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,0.1,,,,,,,,,,,,,,,,,,,,,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,21,2002,8.5,,,,,,,,,,,,,,,,,,,,,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,26.3,,,,,,,,,,,,,,,,,,,,,Matches
16,Alisson,br BRA,GK,Liverpool,31,1992,27.9,,,,,,,,,,,,,,,,,,,,,Matches
17,Miguel Almirón,py PAR,FW,Newcastle United,30,1994,1.7,,,,,,,,,,,,,,,,,,,,,Matches
18,Olabade Aluko,,DF,Leicester City,,,0.0,,,,,,,,,,,,,,,,,,,,,Matches
19,Edson Álvarez,mx MEX,MF,West Ham United,26,1997,19.7,,,,,,,,,,,,,,,,,,,,,Matches
20,Will Alves,eng ENG,MF,Leicester City,19,2005,0.0,,,,,,,,,,,,,,,,,,,,,Matches
21,Harry Amass,eng ENG,MF,Manchester Utd,17,2007,3.8,,,,,,,,,,,,,,,,,,,,,Matches
22,Samuel Amo-Ameyaw,eng ENG,"FW,MF",Southampton,18,2006,0.3,,,,,,,,,,,,,,,,,,,,,Matches
23,Mathis Amougou,fr FRA,MF,Chelsea,18,2006,0.1,,,,,,,,,,,,,,,,,,,,,Matches
24,Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1.0,,,,,,,,,,,,,,,,,,,,,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,28,1996,28.7,,,,,,,,,,,,,,,,,,,,,Matches
26,Elliot Anderson,eng ENG,MF,Nottingham Forest,21,2002,30.3,,,,,,,,,,,,,,,,,,,,,Matches
27,André,br BRA,MF,Wolves,23,2001,27.5,,,,,,,,,,,,,,,,,,,,,Matches
28,Michail Antonio,jm JAM,FW,West Ham United,34,1990,9.3,,,,,,,,,,,,,,,,,,,,,Matches
29,Antony,br BRA,"FW,MF",Manchester Utd,24,2000,1.6,,,,,,,,,,,,,,,,,,,,,Matches
30,Julian Araujo,mx MEX,DF,Bournemouth,22,2001,5.5,,,,,,,,,,,,,,,,,,,,,Matches
31,Cameron Archer,eng ENG,FW,Southampton,23,2001,16.0,,,,,,,,,,,,,,,,,,,,,Matches
32,Alphonse Areola,fr FRA,GK,West Ham United,31,1993,25.1,,,,,,,,,,,,,,,,,,,,,Matches
33,Joe Aribo,ng NGA,MF,Southampton,28,1996,22.4,,,,,,,,,,,,,,,,,,,,,Matches
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,,,,,,,,,,,,,,,,,,,,,Matches
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,,,,,,,,,,,,,,,,,,,,,Matches
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31.0,,,,,,,,,,,,,,,,,,,,,Matches
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,,,,,,,,,,,,,,,,,,,,,Matches
38,Brandon Austin,eng ENG,GK,Tottenham Hotspur,25,1999,1.0,,,,,,,,,,,,,,,,,,,,,Matches
39,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,26,1997,4.6,,,,,,,,,,,,,,,,,,,,,Matches
40,Yasin Ayari,se SWE,MF,Brighton,20,2003,21.8,,,,,,,,,,,,,,,,,,,,,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,0.2,,,,,,,,,,,,,,,,,,,,,Matches
42,Jordan Ayew,gh GHA,MF,Leicester City,32,1991,18.2,,,,,,,,,,,,,,,,,,,,,Matches
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,,,,,,,,,,,,,,,,,,,,,Matches
44,Leon Bailey,jm JAM,MF,Aston Villa,26,1997,12.7,,,,,,,,,,,,,,,,,,,,,Matches
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,,,,,,,,,,,,,,,,,,,,,Matches
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,,,,,,,,,,,,,,,,,,,,,Matches
47,Harvey Barnes,eng ENG,"FW,MF",Newcastle United,26,1997,19.5,,,,,,,,,,,,,,,,,,,,,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,,,,,,,,,,,,,,,,,,,,,Matches
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4.0,,,,,,,,,,,,,,,,,,,,,Matches
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,,,,,,,,,,,,,,,,,,,,,Matches
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,,,,,,,,,,,,,,,,,,,,,Matches
52,Jean-Ricner Bellegarde,ht HAI,MF,Wolves,26,1998,18.6,,,,,,,,,,,,,,,,,,,,,Matches
53,Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,27,1997,18.3,,,,,,,,,,,,,,,,,,,,,Matches
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2.0,,,,,,,,,,,,,,,,,,,,,Matches
55,Sander Berge,no NOR,MF,Fulham,26,1998,24.7,,,,,,,,,,,,,,,,,,,,,Matches
56,Lucas Bergvall,se SWE,MF,Tottenham Hotspur,18,2006,13.5,,,,,,,,,,,,,,,,,,,,,Matches
57,Victor Bernth Kristiansen,dk DEN,"DF,MF",Leicester City,21,2002,27.6,,,,,,,,,,,,,,,,,,,,,Matches
58,Beto,gw GNB,FW,Everton,26,1998,17.0,,,,,,,,,,,,,,,,,,,,,Matches
59,Philip Billing,dk DEN,MF,Bournemouth,28,1996,2.0,,,,,,,,,,,,,,,,,,,,,Matches
60,Yves Bissouma,ml MLI,MF,Tottenham Hotspur,27,1996,15.6,,,,,,,,,,,,,,,,,,,,,Matches
61,Oscar Bobb,no NOR,"FW,MF",Manchester City,21,2003,0.2,,,,,,,,,,,,,,,,,,,,,Matches
62,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,5.3,,,,,,,,,,,,,,,,,,,,,Matches
63,Willy Boly,ci CIV,DF,Nottingham Forest,33,1991,1.7,,,,,,,,,,,,,,,,,,,,,Matches
64,Sven Botman,nl NED,DF,Newcastle United,24,2000,4.6,,,,,,,,,,,,,,,,,,,,,Matches
65,Jarrod Bowen,eng ENG,"MF,FW",West Ham United,27,1996,33.0,,,,,,,,,,,,,,,,,,,,,Matches
66,Conor Bradley,nir NIR,DF,Liverpool,21,2003,8.4,,,,,,,,,,,,,,,,,,,,,Matches
67,Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,27.9,,,,,,,,,,,,,,,,,,,,,Matches
68,James Bree,eng ENG,"DF,MF",Southampton,26,1997,11.9,,,,,,,,,,,,,,,,,,,,,Matches
69,Ben Brereton,cl CHI,"FW,MF",Southampton,25,1999,5.0,,,,,,,,,,,,,,,,,,,,,Matches
70,Nathan Broadhead,wls WAL,MF,Ipswich Town,26,1998,7.8,,,,,,,,,,,,,,,,,,,,,Matches
71,Armando Broja,al ALB,FW,Everton,22,2001,3.7,,,,,,,,,,,,,,,,,,,,,Matches
72,David Brooks,wls WAL,MF,Bournemouth,27,1997,10.7,,,,,,,,,,,,,,,,,,,,,Matches
73,Emi Buendía,ar ARG,"FW,MF",Aston Villa,27,1996,1.1,,,,,,,,,,,,,,,,,,,,,Matches
74,Santiago Bueno,uy URU,DF,Wolves,25,1998,18.7,,,,,,,,,,,,,,,,,,,,,Matches
75,Facundo Buonanotte,ar ARG,"MF,FW",Leicester City,19,2004,16.9,,,,,,,,,,,,,,,,,,,,,Matches
76,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,17.1,,,,,,,,,,,,,,,,,,,,,Matches
77,Dan Burn,eng ENG,DF,Newcastle United,32,1992,37.0,,,,,,,,,,,,,,,,,,,,,Matches
78,Wes Burns,wls WAL,MF,Ipswich Town,29,1994,10.3,,,,,,,,,,,,,,,,,,,,,Matches
79,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,0.1,,,,,,,,,,,,,,,,,,,,,Matches
80,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,37.2,,,,,,,,,,,,,,,,,,,,,Matches
81,Tom Cairney,sct SCO,MF,Fulham,33,1991,7.0,,,,,,,,,,,,,,,,,,,,,Matches
82,Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,21.8,,,,,,,,,,,,,,,,,,,,,Matches
83,Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,10.9,,,,,,,,,,,,,,,,,,,,,Matches
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,17.9,,,,,,,,,,,,,,,,,,,,,Matches
85,Diego Carlos,br BRA,DF,Aston Villa,31,1993,9.2,,,,,,,,,,,,,,,,,,,,,Matches
86,Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,5.1,,,,,,,,,,,,,,,,,,,,,Matches
87,Casemiro,br BRA,MF,Manchester Utd,32,1992,16.6,,,,,,,,,,,,,,,,,,,,,Matches
88,Kaelan Casey,eng ENG,DF,West Ham United,19,2004,0.0,,,,,,,,,,,,,,,,,,,,,Matches
89,Matty Cash,pl POL,DF,Aston Villa,26,1997,23.0,,,,,,,,,,,,,,,,,,,,,Matches
90,Eiran Cashin,ie IRL,DF,Brighton,22,2001,0.2,,,,,,,,,,,,,,,,,,,,,Matches
91,Timothy Castagne,be BEL,"DF,MF",Fulham,28,1995,18.3,,,,,,,,,,,,,,,,,,,,,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,10.1,,,,,,,,,,,,,,,,,,,,,Matches
93,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,11.8,,,,,,,,,,,,,,,,,,,,,Matches
94,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,9.5,,,,,,,,,,,,,,,,,,,,,Matches
95,Youssef Chermiti,pt POR,FW,Everton,20,2004,0.5,,,,,,,,,,,,,,,,,,,,,Matches
96,Federico Chiesa,it ITA,FW,Liverpool,26,1997,1.2,,,,,,,,,,,,,,,,,,,,,Matches
97,Ben Chilwell,eng ENG,MF,Crystal Palace,27,1996,2.9,,,,,,,,,,,,,,,,,,,,,Matches
98,Chiquinho,pt POR,MF,Wolves,24,2000,0.1,,,,,,,,,,,,,,,,,,,,,Matches
99,Hamza Choudhury,bd BAN,MF,Leicester City,26,1997,1.5,,,,,,,,,,,,,,,,,,,,,Matches
100,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,23.5,,,,,,,,,,,,,,,,,,,,,Matches
101,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,4.2,,,,,,,,,,,,,,,,,,,,,Matches
102,Jack Clarke,eng ENG,MF,Ipswich Town,23,2000,13.1,,,,,,,,,,,,,,,,,,,,,Matches
103,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,5.4,,,,,,,,,,,,,,,,,,,,,Matches
104,Conor Coady,eng ENG,DF,Leicester City,31,1993,19.0,,,,,,,,,,,,,,,,,,,,,Matches
105,Séamus Coleman,ie IRL,DF,Everton,35,1988,2.4,,,,,,,,,,,,,,,,,,,,,Matches
106,Nathan Collins,ie IRL,DF,Brentford,23,2001,38.0,,,,,,,,,,,,,,,,,,,,,Matches
107,Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,2.0,,,,,,,,,,,,,,,,,,,,,Matches
108,Levi Colwill,eng ENG,DF,Chelsea,21,2003,35.0,,,,,,,,,,,,,,,,,,,,,Matches
109,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,33.1,,,,,,,,,,,,,,,,,,,,,Matches
110,Maxwel Cornet,ci CIV,MF,Southampton,27,1996,0.8,,,,,,,,,,,,,,,,,,,,,Matches
111,Vladimír Coufal,cz CZE,"DF,MF",West Ham United,31,1992,11.9,,,,,,,,,,,,,,,,,,,,,Matches
112,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,1.2,,,,,,,,,,,,,,,,,,,,,Matches
113,Aaron Cresswell,eng ENG,DF,West Ham United,34,1989,9.2,,,,,,,,,,,,,,,,,,,,,Matches
114,Marc Cucurella,es ESP,DF,Chelsea,26,1998,33.2,,,,,,,,,,,,,,,,,,,,,Matches
115,Jorge Cuenca,es ESP,DF,Fulham,24,1999,3.9,,,,,,,,,,,,,,,,,,,,,Matches
116,Matheus Cunha,br BRA,MF,Wolves,25,1999,28.9,,,,,,,,,,,,,,,,,,,,,Matches
117,Patson Daka,zm ZAM,"MF,FW",Leicester City,25,1998,8.2,,,,,,,,,,,,,,,,,,,,,Matches
118,Diogo Dalot,pt POR,"MF,DF",Manchester Utd,25,1999,31.3,,,,,,,,,,,,,,,,,,,,,Matches
119,Mikkel Damsgaard,dk DEN,MF,Brentford,24,2000,32.3,,,,,,,,,,,,,,,,,,,,,Matches
120,Danilo,br BRA,MF,Nottingham Forest,23,2001,3.1,,,,,,,,,,,,,,,,,,,,,Matches
121,Jayden Danns,eng ENG,FW,Liverpool,18,2006,0.1,,,,,,,,,,,,,,,,,,,,,Matches
122,Kevin Danso,at AUT,DF,Tottenham Hotspur,25,1998,9.4,,,,,,,,,,,,,,,,,,,,,Matches
123,Ben Davies,wls WAL,DF,Tottenham Hotspur,31,1993,14.8,,,,,,,,,,,,,,,,,,,,,Matches
124,Leif Davis,eng ENG,DF,Ipswich Town,24,2000,30.5,,,,,,,,,,,,,,,,,,,,,Matches
125,Craig Dawson,eng ENG,DF,Wolves,34,1990,10.8,,,,,,,,,,,,,,,,,,,,,Matches
126,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,18.9,,,,,,,,,,,,,,,,,,,,,Matches
127,Bobby De Cordova-Reid,jm JAM,"MF,FW",Leicester City,31,1993,8.3,,,,,,,,,,,,,,,,,,,,,Matches
128,Liam Delap,eng ENG,FW,Ipswich Town,21,2003,28.8,,,,,,,,,,,,,,,,,,,,,Matches
129,Sepp van den Berg,nl NED,DF,Brentford,22,2001,28.7,,,,,,,,,,,,,,,,,,,,,Matches
130,Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,5.6,,,,,,,,,,,,,,,,,,,,,Matches
131,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,25,1998,2.9,,,,,,,,,,,,,,,,,,,,,Matches
132,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,21.1,,,,,,,,,,,,,,,,,,,,,Matches
133,Rúben Dias,pt POR,"DF,MF",Manchester City,27,1997,25.2,,,,,,,,,,,,,,,,,,,,,Matches
134,Luis Díaz,co COL,"FW,MF",Liverpool,27,1997,26.7,,,,,,,,,,,,,,,,,,,,,Matches
135,Tyler Dibling,eng ENG,"MF,FW",Southampton,18,2006,20.8,,,,,,,,,,,,,,,,,,,,,Matches
136,Lucas Digne,fr FRA,DF,Aston Villa,31,1993,26.1,,,,,,,,,,,,,,,,,,,,,Matches
137,Issa Diop,fr FRA,DF,Fulham,27,1997,14.9,,,,,,,,,,,,,,,,,,,,,Matches
138,Axel Disasi,fr FRA,DF,Aston Villa,26,1998,5.4,,,,,,,,,,,,,,,,,,,,,Matches
139,Axel Disasi,fr FRA,DF,Chelsea,26,1998,4.0,,,,,,,,,,,,,,,,,,,,,Matches
140,Roman Dixon,eng ENG,DF,Everton,19,2004,1.0,,,,,,,,,,,,,,,,,,,,,Matches
141,Nasser Djiga,bf BFA,DF,Wolves,21,2002,0.7,,,,,,,,,,,,,,,,,,,,,Matches
142,Matt Doherty,ie IRL,"DF,MF",Wolves,32,1992,23.4,,,,,,,,,,,,,,,,,,,,,Matches
143,Jeremy Doku,be BEL,"MF,FW",Manchester City,22,2002,16.8,,,,,,,,,,,,,,,,,,,,,Matches
144,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,26,1998,21.8,,,,,,,,,,,,,,,,,,,,,Matches
145,Patrick Dorgu,dk DEN,MF,Manchester Utd,19,2004,9.4,,,,,,,,,,,,,,,,,,,,,Matches
146,Alfie Dorrington,eng ENG,DF,Tottenham Hotspur,19,2005,0.2,,,,,,,,,,,,,,,,,,,,,Matches
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,28.5,,,,,,,,,,,,,,,,,,,,,Matches
148,Cheick Doucouré,ml MLI,MF,Crystal Palace,24,2000,5.0,,,,,,,,,,,,,,,,,,,,,Matches
149,Flynn Downes,eng ENG,MF,Southampton,25,1999,23.9,,,,,,,,,,,,,,,,,,,,,Matches
150,Tommy Doyle,eng ENG,MF,Wolves,22,2001,5.4,,,,,,,,,,,,,,,,,,,,,Matches
151,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,22,2002,13.9,,,,,,,,,,,,,,,,,,,,,Matches
152,Martin Dúbravka,sk SVK,GK,Newcastle United,35,1989,10.0,,,,,,,,,,,,,,,,,,,,,Matches
153,Lewis Dunk,eng ENG,DF,Brighton,32,1991,23.1,,,,,,,,,,,,,,,,,,,,,Matches
154,Jáder Durán,co COL,FW,Aston Villa,20,2003,7.1,,,,,,,,,,,,,,,,,,,,,Matches
155,Claudio Echeverri,ar ARG,MF,Manchester City,18,2006,0.1,,,,,,,,,,,,,,,,,,,,,Matches
156,Ederson,br BRA,GK,Manchester City,30,1993,25.8,,,,,,,,,,,,,,,,,,,,,Matches
157,George Edmundson,eng ENG,DF,Ipswich Town,26,1997,0.0,,,,,,,,,,,,,,,,,,,,,Matches
158,Odsonne Édouard,fr FRA,FW,Leicester City,26,1998,0.3,,,,,,,,,,,,,,,,,,,,,Matches
159,Odsonne Édouard,fr FRA,MF,Crystal Palace,26,1998,1.3,,,,,,,,,,,,,,,,,,,,,Matches
160,Samuel Edozie,eng ENG,"FW,MF",Southampton,21,2003,0.7,,,,,,,,,,,,,,,,,,,,,Matches
161,Ronnie Edwards,eng ENG,DF,Southampton,21,2003,0.1,,,,,,,,,,,,,,,,,,,,,Matches
162,Anthony Elanga,se SWE,"MF,FW",Nottingham Forest,22,2002,27.8,,,,,,,,,,,,,,,,,,,,,Matches
163,Harvey Elliott,eng ENG,MF,Liverpool,21,2003,4.1,,,,,,,,,,,,,,,,,,,,,Matches
164,Yunus Emre Konak,tr TUR,MF,Brentford,18,2006,0.5,,,,,,,,,,,,,,,,,,,,,Matches
165,Julio Enciso,py PAR,MF,Ipswich Town,20,2004,9.7,,,,,,,,,,,,,,,,,,,,,Matches
166,Julio Enciso,py PAR,MF,Brighton,20,2004,3.3,,,,,,,,,,,,,,,,,,,,,Matches
167,Wataru Endo,jp JPN,MF,Liverpool,31,1993,3.0,,,,,,,,,,,,,,,,,,,,,Matches
168,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,11.8,,,,,,,,,,,,,,,,,,,,,Matches
169,Romain Esse,eng ENG,MF,Crystal Palace,19,2005,1.5,,,,,,,,,,,,,,,,,,,,,Matches
170,Pervis Estupiñán,ec ECU,DF,Brighton,26,1998,26.7,,,,,,,,,,,,,,,,,,,,,Matches
171,Evanilson,br BRA,FW,Bournemouth,24,1999,25.8,,,,,,,,,,,,,,,,,,,,,Matches
172,Jake Evans,eng ENG,MF,Leicester City,15,2008,0.3,,,,,,,,,,,,,,,,,,,,,Matches
173,Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,3.5,,,,,,,,,,,,,,,,,,,,,Matches
174,Eberechi Eze,eng ENG,MF,Crystal Palace,26,1998,28.8,,,,,,,,,,,,,,,,,,,,,Matches
175,Łukasz Fabiański,pl POL,GK,West Ham United,39,1985,12.9,,,,,,,,,,,,,,,,,,,,,Matches
176,Wout Faes,be BEL,DF,Leicester City,26,1998,31.3,,,,,,,,,,,,,,,,,,,,,Matches
177,Abdul Fatawu Issahaku,gh GHA,"MF,FW",Leicester City,20,2004,6.4,,,,,,,,,,,,,,,,,,,,,Matches
178,João Félix,pt POR,MF,Chelsea,24,1999,4.1,,,,,,,,,,,,,,,,,,,,,Matches
179,Evan Ferguson,ie IRL,FW,Brighton,19,2004,2.7,,,,,,,,,,,,,,,,,,,,,Matches
180,Evan Ferguson,ie IRL,FW,West Ham United,19,2004,1.7,,,,,,,,,,,,,,,,,,,,,Matches
181,Bruno Fernandes,pt POR,MF,Manchester Utd,29,1994,33.5,,,,,,,,,,,,,,,,,,,,,Matches
182,Mateus Fernandes,pt POR,MF,Southampton,20,2004,32.3,,,,,,,,,,,,,,,,,,,,,Matches
183,Enzo Fernández,ar ARG,MF,Chelsea,23,2001,32.7,,,,,,,,,,,,,,,,,,,,,Matches
184,Mark Flekken,nl NED,GK,Brentford,31,1993,36.4,,,,,,,,,,,,,,,,,,,,,Matches
185,Phil Foden,eng ENG,"MF,FW",Manchester City,24,2000,19.7,,,,,,,,,,,,,,,,,,,,,Matches
186,Wesley Fofana,fr FRA,DF,Chelsea,23,2000,13.0,,,,,,,,,,,,,,,,,,,,,Matches
187,Carlos Forbs,pt POR,MF,Wolves,20,2004,2.7,,,,,,,,,,,,,,,,,,,,,Matches
188,Fraser Forster,eng ENG,GK,Tottenham Hotspur,36,1988,7.0,,,,,,,,,,,,,,,,,,,,,Matches
189,Matheus França,br BRA,FW,Crystal Palace,20,2004,0.6,,,,,,,,,,,,,,,,,,,,,Matches
190,Ryan Fraser,sct SCO,"MF,DF",Southampton,30,1994,3.4,,,,,,,,,,,,,,,,,,,,,Matches
191,Tyler Fredricson,eng ENG,DF,Manchester Utd,19,2005,1.8,,,,,,,,,,,,,,,,,,,,,Matches
192,Niclas Füllkrug,de GER,FW,West Ham United,31,1993,8.8,,,,,,,,,,,,,,,,,,,,,Matches
193,Cody Gakpo,nl NED,MF,Liverpool,25,1999,21.5,,,,,,,,,,,,,,,,,,,,,Matches
194,Idrissa Gana Gueye,sn SEN,MF,Everton,34,1989,34.0,,,,,,,,,,,,,,,,,,,,,Matches
195,Andrés García,es ESP,"DF,MF",Aston Villa,21,2003,3.5,,,,,,,,,,,,,,,,,,,,,Matches
196,Alejandro Garnacho,ar ARG,MF,Manchester Utd,20,2004,24.4,,,,,,,,,,,,,,,,,,,,,Matches
