Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
266,Ben Johnson,eng ENG,"MF,DF",Ipswich Town,24,2000,15.0,,,,,,,,,,,,,,,,,,,,,Matches
267,Brennan Johnson,wls WAL,"FW,MF",Tottenham Hotspur,23,2001,24.2,,,,,,,,,,,,,,,,,,,,,Matches
268,Sam Johnstone,eng ENG,GK,Wolves,31,1993,7.0,,,,,,,,,,,,,,,,,,,,,Matches
269,Curtis Jones,eng ENG,"MF,DF",Liverpool,23,2001,19.0,,,,,,,,,,,,,,,,,,,,,Matches
270,Jorginho,it ITA,MF,Arsenal,32,1991,7.8,,,,,,,,,,,,,,,,,,,,,Matches
271,Diogo Jota,pt POR,FW,Liverpool,27,1996,13.3,,,,,,,,,,,,,,,,,,,,,Matches
272,James Justin,eng ENG,"DF,MF",Leicester City,26,1998,32.4,,,,,,,,,,,,,,,,,,,,,Matches
273,Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,6.0,,,,,,,,,,,,,,,,,,,,,Matches
274,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,24,1999,4.3,,,,,,,,,,,,,,,,,,,,,Matches
275,Daichi Kamada,jp JPN,MF,Crystal Palace,27,1996,17.4,,,,,,,,,,,,,,,,,,,,,Matches
276,Boubacar Kamara,fr FRA,"MF,DF",Aston Villa,24,1999,19.2,,,,,,,,,,,,,,,,,,,,,Matches
277,Joachim Kayi Sanda,fr FRA,DF,Southampton,17,2006,0.2,,,,,,,,,,,,,,,,,,,,,Matches
278,Michael Kayode,it ITA,DF,Brentford,20,2004,5.9,,,,,,,,,,,,,,,,,,,,,Matches
279,Michael Keane,eng ENG,DF,Everton,31,1993,11.7,,,,,,,,,,,,,,,,,,,,,Matches
280,Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,10.0,,,,,,,,,,,,,,,,,,,,,Matches
281,Lloyd Kelly,eng ENG,DF,Newcastle United,25,1998,3.4,,,,,,,,,,,,,,,,,,,,,Matches
282,Milos Kerkez,hu HUN,DF,Bournemouth,20,2003,37.1,,,,,,,,,,,,,,,,,,,,,Matches
283,Bilal El Khannouss,ma MAR,MF,Leicester City,20,2004,24.2,,,,,,,,,,,,,,,,,,,,,Matches
284,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,5.6,,,,,,,,,,,,,,,,,,,,,Matches
285,Max Kilman,eng ENG,DF,West Ham United,27,1997,37.2,,,,,,,,,,,,,,,,,,,,,Matches
286,Joshua King,eng ENG,MF,Fulham,17,2007,1.4,,,,,,,,,,,,,,,,,,,,,Matches
287,Tom King,wls WAL,GK,Wolves,29,1995,0.0,,,,,,,,,,,,,,,,,,,,,Matches
288,Antonín Kinský,cz CZE,GK,Tottenham Hotspur,21,2003,6.0,,,,,,,,,,,,,,,,,,,,,Matches
289,Jakub Kiwior,pl POL,DF,Arsenal,24,2000,12.5,,,,,,,,,,,,,,,,,,,,,Matches
290,Justin Kluivert,nl NED,MF,Bournemouth,25,1999,26.0,,,,,,,,,,,,,,,,,,,,,Matches
291,Ibrahima Konaté,fr FRA,DF,Liverpool,25,1999,28.4,,,,,,,,,,,,,,,,,,,,,Matches
292,Ezri Konsa,eng ENG,DF,Aston Villa,26,1997,32.6,,,,,,,,,,,,,,,,,,,,,Matches
293,Mateo Kovačić,hr CRO,"MF,DF",Manchester City,30,1994,24.4,,,,,,,,,,,,,,,,,,,,,Matches
294,Caleb Kporha,eng ENG,DF,Crystal Palace,18,2006,0.1,,,,,,,,,,,,,,,,,,,,,Matches
295,Emil Krafth,se SWE,DF,Newcastle United,29,1994,3.8,,,,,,,,,,,,,,,,,,,,,Matches
296,Mohammed Kudus,gh GHA,"MF,FW",West Ham United,23,2000,28.8,,,,,,,,,,,,,,,,,,,,,Matches
297,Dejan Kulusevski,se SWE,"MF,FW",Tottenham Hotspur,24,2000,26.5,,,,,,,,,,,,,,,,,,,,,Matches
298,Maxence Lacroix,fr FRA,DF,Crystal Palace,24,2000,34.6,,,,,,,,,,,,,,,,,,,,,Matches
