Player,Squad,Pos,Min,xG,xA,season
Sergio Gómez,Real Sociedad,FW,2745.0,1.8784845154732466,8.346578739583492,2024-25
Anuar Mohamed,Real Valladolid,FW,1748.0,2.2580461110919714,1.1850194483995438,2024-25
Fran Beltrán,Celta Vigo,MF,2443.0,0.895150656811893,2.1079451413825154,2024-25
Ezequiel Ávila,Real Betis,FW,642.0,1.8292050613090396,1.3472508378326893,2024-25
Javi Sánchez,Real Valladolid,DF,2050.0,0.5223447591997683,0.4835602529346943,2024-25
Valery Fernández,Mallorca,MF,260.0,1.1641754806041718,0.025492219254374504,2024-25
Andrei Ratiu,Rayo Vallecano,DF,3066.0,2.136768433265388,5.584122102707624,2024-25
Martín Zubimendi,Real Sociedad,MF,2966.0,3.922204528003931,1.213069198653102,2024-25
Frenkie de Jong,Barcelona,MF,1105.0,1.0243200585246086,2.302895499393344,2024-25
Ruben Vargas,Sevilla,FW,693.0,2.7851509768515825,1.0344063863158226,2024-25
Sheraldo Becker,Real Sociedad,FW,996.0,1.8835409861057997,1.7872297391295433,2024-25
Abdón Prats,Mallorca,FW,400.0,2.7443290799856186,0.12906461395323277,2024-25
Eric Garcia,Barcelona,DF,1532.0,2.354891483671963,1.012534737586975,2024-25
Logan Costa,Villarreal,DF,2596.0,0.9958862774074078,0.3248736150562763,2024-25
Javi Hernández,Leganes,DF,2401.0,1.134048592299223,1.5437743626534939,2024-25
Kike Pérez,Real Valladolid,MF,1225.0,2.2361309342086315,1.3833393813110888,2024-25
Chidera Ejuke,Sevilla,FW,917.0,0.9540498401038349,1.5952777117490768,2024-25
Dani Gómez,Valencia,FW,504.0,2.6963067073374987,0.03244921937584877,2024-25
Donny van de Beek,Girona,MF,1435.0,1.390021063387394,3.203115929849446,2024-25
Giuliano Simeone,Atletico Madrid,FW,1988.0,3.001487374305725,7.1847349517047405,2024-25
Abdessamad Ezzalzouli,Real Betis,MF,2038.0,9.58601439744234,2.4090976025909185,2024-25
Carlos Martín,Alaves,FW,1367.0,2.4801127864047885,2.5880204420536757,2024-25
César Tárrega,Valencia,DF,3029.0,2.2794765969738364,0.10934620723128319,2024-25
Nahuel Tenaglia,Alaves,DF,2930.0,2.742606063839048,1.9290947634726763,2024-25
Arnau Martinez,Girona,DF,2631.0,2.5853976234793663,1.9221024503931403,2024-25
Pau Victor,Barcelona,FW,273.0,2.9672163296490908,0.8769846558570862,2024-25
Abdul Mumin,Rayo Vallecano,DF,2020.0,0.7587368516251445,0.19435454905033112,2024-25
Alvaro Rodríguez,Getafe,FW,831.0,1.3045803681015968,0.6382230799645185,2024-25
Viktor Tsygankov,Girona,FW,1947.0,2.957321310415864,4.1547895623371005,2024-25
Carlos Romero,Espanyol,DF,2566.0,2.4829133171588182,2.1038236087188125,2024-25
Mikel Jauregizar,Athletic Club,MF,2244.0,1.0411129482090473,1.5972765255719423,2024-25
Ladislav Krejcí,Girona,DF,2436.0,1.6796669187024236,0.3311499524861574,2024-25
Manu Fuster,Las Palmas,FW,958.0,0.7450216170400381,1.3880910379812121,2024-25
