Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
79,Mohamed Bouchenna,fr FRA,FW,Clermont Foot,17,2006,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
80,Hicham Boudaoui,dz ALG,MF,Nice,23,1999,17.9,,,,,,,,,,,,,,,0,,,,,,Matches
81,Benjamin Bourigeaud,fr FRA,MF,Rennes,29,1994,26.9,,,,,,,,,,,,,,,6,,,,,,Matches
82,Bilal Boutobba,fr FRA,"MF,FW",Clermont Foot,24,1998,10.3,,,,,,,,,,,,,,,1,,,,,,Matches
83,Hugo Boutsingkham,fr FRA,DF,Nantes,20,2003,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
84,Bilal Brahimi,dz ALG,FW,Brest,23,2000,2.5,,,,,,,,,,,,,,,0,,,,,,Matches
85,Bilal Brahimi,dz ALG,"FW,MF",Nice,23,2000,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
86,Lilian Brassier,fr FRA,DF,Brest,23,1999,29.7,,,,,,,,,,,,,,,0,,,,,,Matches
87,Maxime Busi,be BEL,MF,Reims,23,1999,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
88,Marcin Bułka,pl POL,GK,Nice,23,1999,34.0,,,,,,,,,,,,,,,0,,,,,,Matches
89,Rémy Cabella,fr FRA,"MF,FW",Lille,33,1990,16.4,,,,,,,,,,,,,,,2,,,,,,Matches
90,Duje Ćaleta-Car,hr CRO,DF,Lyon,26,1996,22.1,,,,,,,,,,,,,,,0,,,,,,Matches
91,Lamine Camara,sn SEN,MF,Metz,19,2004,25.1,,,,,,,,,,,,,,,4,,,,,,Matches
92,Mahdi Camara,fr FRA,MF,Brest,25,1998,22.4,,,,,,,,,,,,,,,3,,,,,,Matches
93,Mohamed Camara,ml MLI,MF,Monaco,23,2000,11.5,,,,,,,,,,,,,,,2,,,,,,Matches
94,Axel Camblan,fr FRA,FW,Brest,19,2003,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
95,Fali Candé,gw GNB,DF,Metz,25,1998,20.5,,,,,,,,,,,,,,,1,,,,,,Matches
