player_name_tm,club_tm,season,market_value_eur
Dan Burn,Newcastle United,2025-26,5000000.0
Lewis Hall,Newcastle United,2025-26,35000000.0
Alex Murphy,Newcastle United,2025-26,1500000.0
Tino Livramento,Newcastle United,2025-26,40000000.0
Kieran Trippier,Newcastle United,2025-26,2500000.0
Emil Krafth,Newcastle United,2025-26,1000000.0
Sandro Tonali,Newcastle United,2025-26,80000000.0
Bruno Guimarães,Newcastle United,2025-26,75000000.0
Jacob Ramsey,Newcastle United,2025-26,35000000.0
Joelinton,Newcastle United,2025-26,30000000.0
Lewis Miley,Newcastle United,2025-26,25000000.0
Joe Willock,Newcastle United,2025-26,16000000.0
Anthony Gordon,Newcastle United,2025-26,60000000.0
Harvey Barnes,Newcastle United,2025-26,32000000.0
Anthony Elanga,Newcastle United,2025-26,40000000.0
Jacob Murphy,Newcastle United,2025-26,15000000.0
Nick Woltemade,Newcastle United,2025-26,65000000.0
Yoane Wissa,Newcastle United,2025-26,30000000.0
William Osula,Newcastle United,2025-26,15000000.0
John Victor,Nottingham Forest,2025-26,7000000.0
Stefan Ortega,Nottingham Forest,2025-26,5000000.0
Matz Sels,Nottingham Forest,2025-26,4000000.0
Angus Gunn,Nottingham Forest,2025-26,1500000.0
Murillo,Nottingham Forest,2025-26,50000000.0
Nikola Milenković,Nottingham Forest,2025-26,30000000.0
Morato,Nottingham Forest,2025-26,14000000.0
Jair Cunha,Nottingham Forest,2025-26,12000000.0
Zach Abbott,Nottingham Forest,2025-26,3000000.0
Willy Boly,Nottingham Forest,2025-26,500000.0
Neco Williams,Nottingham Forest,2025-26,25000000.0
Luca Netz,Nottingham Forest,2025-26,6000000.0
Ola Aina,Nottingham Forest,2025-26,20000000.0
Nicolò Savona,Nottingham Forest,2025-26,18000000.0
Eric da Silva Moreira,Nottingham Forest,2025-26,1000000.0
Ibrahim Sangaré,Nottingham Forest,2025-26,22000000.0
Elliot Anderson,Nottingham Forest,2025-26,60000000.0
Nicolás Domínguez,Nottingham Forest,2025-26,16000000.0
Ryan Yates,Nottingham Forest,2025-26,8000000.0
Morgan Gibbs-White,Nottingham Forest,2025-26,60000000.0
Omari Hutchinson,Nottingham Forest,2025-26,30000000.0
James McAtee,Nottingham Forest,2025-26,20000000.0
Callum Hudson-Odoi,Nottingham Forest,2025-26,30000000.0
Dan Ndoye,Nottingham Forest,2025-26,35000000.0
Dilane Bakwa,Nottingham Forest,2025-26,28000000.0
Lorenzo Lucca,Nottingham Forest,2025-26,25000000.0
Igor Jesus,Nottingham Forest,2025-26,22000000.0
Taiwo Awoniyi,Nottingham Forest,2025-26,9000000.0
Chris Wood,Nottingham Forest,2025-26,6000000.0
Emiliano Martínez,Aston Villa,2025-26,15000000.0
Marco Bizot,Aston Villa,2025-26,2500000.0
Ezri Konsa,Aston Villa,2025-26,40000000.0
Pau Torres,Aston Villa,2025-26,22000000.0
Victor Lindelöf,Aston Villa,2025-26,6000000.0
Tyrone Mings,Aston Villa,2025-26,4000000.0
Ian Maatsen,Aston Villa,2025-26,30000000.0
Lucas Digne,Aston Villa,2025-26,8000000.0
Matty Cash,Aston Villa,2025-26,22000000.0
Andrés García,Aston Villa,2025-26,7000000.0
Amadou Onana,Aston Villa,2025-26,45000000.0
Boubacar Kamara,Aston Villa,2025-26,40000000.0
Lamare Bogarde,Aston Villa,2025-26,15000000.0
Youri Tielemans,Aston Villa,2025-26,35000000.0
Douglas Luiz,Aston Villa,2025-26,20000000.0
John McGinn,Aston Villa,2025-26,15000000.0
Ross Barkley,Aston Villa,2025-26,5000000.0
Morgan Rogers,Aston Villa,2025-26,80000000.0
Harvey Elliott,Aston Villa,2025-26,22000000.0
Emiliano Buendía,Aston Villa,2025-26,18000000.0
Jadon Sancho,Aston Villa,2025-26,20000000.0
Leon Bailey,Aston Villa,2025-26,16000000.0
Alysson,Aston Villa,2025-26,10000000.0
Ollie Watkins,Aston Villa,2025-26,30000000.0
Tammy Abraham,Aston Villa,2025-26,20000000.0
Dean Henderson,Crystal Palace,2025-26,28000000.0
Walter Benítez,Crystal Palace,2025-26,5000000.0
Remi Matthews,Crystal Palace,2025-26,300000.0
Maxence Lacroix,Crystal Palace,2025-26,40000000.0
Chris Richards,Crystal Palace,2025-26,25000000.0
Jaydee Canvot,Crystal Palace,2025-26,20000000.0
Chadi Riad,Crystal Palace,2025-26,12000000.0
Tyrick Mitchell,Crystal Palace,2025-26,25000000.0
Borna Sosa,Crystal Palace,2025-26,4000000.0
Rio Cardines,Crystal Palace,2025-26,300000.0
Daniel Muñoz,Crystal Palace,2025-26,27000000.0
Caleb Kporha,Crystal Palace,2025-26,1000000.0
Nathaniel Clyne,Crystal Palace,2025-26,500000.0
Adam Wharton,Crystal Palace,2025-26,60000000.0
Cheick Doucouré,Crystal Palace,2025-26,13000000.0
Jefferson Lerma,Crystal Palace,2025-26,8000000.0
Kaden Rodney,Crystal Palace,2025-26,200000.0
Will Hughes,Crystal Palace,2025-26,6000000.0
Daichi Kamada,Crystal Palace,2025-26,12000000.0
Justin Devenny,Crystal Palace,2025-26,12000000.0
Ismaïla Sarr,Crystal Palace,2025-26,35000000.0
Yéremy Pino,Crystal Palace,2025-26,35000000.0
Brennan Johnson,Crystal Palace,2025-26,35000000.0
Evann Guessand,Crystal Palace,2025-26,28000000.0
Jørgen Strand Larsen,Crystal Palace,2025-26,45000000.0
Jean-Philippe Mateta,Crystal Palace,2025-26,35000000.0
Christantus Uche,Crystal Palace,2025-26,15000000.0
Eddie Nketiah,Crystal Palace,2025-26,14000000.0
Djordje Petrovic,AFC Bournemouth,2025-26,28000000.0
Christos Mandas,AFC Bournemouth,2025-26,10000000.0
Fraser Forster,AFC Bournemouth,2025-26,600000.0
Bafodé Diakité,AFC Bournemouth,2025-26,30000000.0
Marcos Senesi,AFC Bournemouth,2025-26,22000000.0
Veljko Milosavljevic,AFC Bournemouth,2025-26,20000000.0
James Hill,AFC Bournemouth,2025-26,15000000.0
Matai Akinmboni,AFC Bournemouth,2025-26,1000000.0
Adrien Truffert,AFC Bournemouth,2025-26,25000000.0
Julio Soler,AFC Bournemouth,2025-26,8000000.0
Álex Jiménez,AFC Bournemouth,2025-26,22000000.0
Adam Smith,AFC Bournemouth,2025-26,500000.0
Tyler Adams,AFC Bournemouth,2025-26,25000000.0
Alex Scott,AFC Bournemouth,2025-26,40000000.0
Lewis Cook,AFC Bournemouth,2025-26,13000000.0
Alex Tóth,AFC Bournemouth,2025-26,12000000.0
Ryan Christie,AFC Bournemouth,2025-26,9000000.0
Justin Kluivert,AFC Bournemouth,2025-26,30000000.0
Marcus Tavernier,AFC Bournemouth,2025-26,23000000.0
Amine Adli,AFC Bournemouth,2025-26,20000000.0
Ben Gannon-Doak,AFC Bournemouth,2025-26,16000000.0
David Brooks,AFC Bournemouth,2025-26,14000000.0
Junior Kroupi,AFC Bournemouth,2025-26,40000000.0
Rayan,AFC Bournemouth,2025-26,40000000.0
Evanilson,AFC Bournemouth,2025-26,35000000.0
Enes Ünal,AFC Bournemouth,2025-26,8000000.0
Bart Verbruggen,Brighton & Hove Albion,2025-26,40000000.0
Jason Steele,Brighton & Hove Albion,2025-26,750000.0
Tom McGill,Brighton & Hove Albion,2025-26,500000.0
Jan Paul van Hecke,Brighton & Hove Albion,2025-26,35000000.0
Olivier Boscagli,Brighton & Hove Albion,2025-26,15000000.0
Igor Julio,Brighton & Hove Albion,2025-26,12000000.0
Adam Webster,Brighton & Hove Albion,2025-26,5000000.0
Lewis Dunk,Brighton & Hove Albion,2025-26,4000000.0
Ferdi Kadıoğlu,Brighton & Hove Albion,2025-26,30000000.0
Maxim De Cuyper,Brighton & Hove Albion,2025-26,22000000.0
Joël Veltman,Brighton & Hove Albion,2025-26,2500000.0
Carlos Baleba,Brighton & Hove Albion,2025-26,55000000.0
Mats Wieffer,Brighton & Hove Albion,2025-26,25000000.0
Jack Hinshelwood,Brighton & Hove Albion,2025-26,22000000.0
Yasin Ayari,Brighton & Hove Albion,2025-26,30000000.0
Diego Gómez,Brighton & Hove Albion,2025-26,25000000.0
Matt O'Riley,Brighton & Hove Albion,2025-26,20000000.0
Pascal Groß,Brighton & Hove Albion,2025-26,3500000.0
James Milner,Brighton & Hove Albion,2025-26,750000.0
Kaoru Mitoma,Brighton & Hove Albion,2025-26,25000000.0
Yankuba Minteh,Brighton & Hove Albion,2025-26,40000000.0
Solly March,Brighton & Hove Albion,2025-26,2000000.0
Georginio Rutter,Brighton & Hove Albion,2025-26,30000000.0
Charalampos Kostoulas,Brighton & Hove Albion,2025-26,25000000.0
Stefanos Tzimas,Brighton & Hove Albion,2025-26,20000000.0
Danny Welbeck,Brighton & Hove Albion,2025-26,4000000.0
Caoimhín Kelleher,Brentford FC,2025-26,25000000.0
Hákon Valdimarsson,Brentford FC,2025-26,2500000.0
Ellery Balcombe,Brentford FC,2025-26,400000.0
Julian Eyestone,Brentford FC,2025-26,
Sepp van den Berg,Brentford FC,2025-26,32000000.0
Nathan Collins,Brentford FC,2025-26,30000000.0
Kristoffer Ajer,Brentford FC,2025-26,18000000.0
Ethan Pinnock,Brentford FC,2025-26,4000000.0
Rico Henry,Brentford FC,2025-26,15000000.0
Michael Kayode,Brentford FC,2025-26,35000000.0
Aaron Hickey,Brentford FC,2025-26,16000000.0
Vitaly Janelt,Brentford FC,2025-26,18000000.0
Jordan Henderson,Brentford FC,2025-26,2000000.0
Yegor Yarmolyuk,Brentford FC,2025-26,30000000.0
Mathias Jensen,Brentford FC,2025-26,12000000.0
Josh Dasilva,Brentford FC,2025-26,2000000.0
Keane Lewis-Potter,Brentford FC,2025-26,25000000.0
Mikkel Damsgaard,Brentford FC,2025-26,30000000.0
Antoni Milambo,Brentford FC,2025-26,20000000.0
Fábio Carvalho,Brentford FC,2025-26,10000000.0
Kevin Schade,Brentford FC,2025-26,35000000.0
Reiss Nelson,Brentford FC,2025-26,12000000.0
Dango Ouattara,Brentford FC,2025-26,35000000.0
Romelle Donovan,Brentford FC,2025-26,3500000.0
Igor Thiago,Brentford FC,2025-26,50000000.0
Kaye Furo,Brentford FC,2025-26,8000000.0
Jordan Pickford,Everton FC,2025-26,15000000.0
Mark Travers,Everton FC,2025-26,4000000.0
Tom King,Everton FC,2025-26,150000.0
Jarrad Branthwaite,Everton FC,2025-26,45000000.0
James Tarkowski,Everton FC,2025-26,7000000.0
Michael Keane,Everton FC,2025-26,4000000.0
Vitaliy Mykolenko,Everton FC,2025-26,25000000.0
Adam Aznou,Everton FC,2025-26,7000000.0
Jake O'Brien,Everton FC,2025-26,18000000.0
Nathan Patterson,Everton FC,2025-26,10000000.0
Séamus Coleman,Everton FC,2025-26,300000.0
James Garner,Everton FC,2025-26,35000000.0
Idrissa Gueye,Everton FC,2025-26,1000000.0
Kiernan Dewsbury-Hall,Everton FC,2025-26,32000000.0
Carlos Alcaraz,Everton FC,2025-26,15000000.0
Tim Iroegbunam,Everton FC,2025-26,15000000.0
Harrison Armstrong,Everton FC,2025-26,12000000.0
Merlin Röhl,Everton FC,2025-26,16000000.0
Jack Grealish,Everton FC,2025-26,25000000.0
Tyrique George,Everton FC,2025-26,22000000.0
Dwight McNeil,Everton FC,2025-26,20000000.0
Iliman Ndiaye,Everton FC,2025-26,50000000.0
Tyler Dibling,Everton FC,2025-26,22000000.0
Thierno Barry,Everton FC,2025-26,30000000.0
Beto,Everton FC,2025-26,20000000.0
Bernd Leno,Fulham FC,2025-26,8000000.0
Benjamin Lecomte,Fulham FC,2025-26,1200000.0
Calvin Bassey,Fulham FC,2025-26,28000000.0
Joachim Andersen,Fulham FC,2025-26,25000000.0
Issa Diop,Fulham FC,2025-26,10000000.0
Jorge Cuenca,Fulham FC,2025-26,8000000.0
Antonee Robinson,Fulham FC,2025-26,25000000.0
Ryan Sessegnon,Fulham FC,2025-26,20000000.0
Kenny Tete,Fulham FC,2025-26,11000000.0
Timothy Castagne,Fulham FC,2025-26,10000000.0
Sander Berge,Fulham FC,2025-26,25000000.0
Saša Lukić,Fulham FC,2025-26,12000000.0
Harrison Reed,Fulham FC,2025-26,3000000.0
Tom Cairney,Fulham FC,2025-26,750000.0
Emile Smith Rowe,Fulham FC,2025-26,22000000.0
Josh King,Fulham FC,2025-26,20000000.0
Kevin,Fulham FC,2025-26,30000000.0
Alex Iwobi,Fulham FC,2025-26,25000000.0
Oscar Bobb,Fulham FC,2025-26,30000000.0
Harry Wilson,Fulham FC,2025-26,25000000.0
Samuel Chukwueze,Fulham FC,2025-26,15000000.0
Rodrigo Muniz,Fulham FC,2025-26,25000000.0
Raúl Jiménez,Fulham FC,2025-26,4000000.0
Jonah Kusi-Asare,Fulham FC,2025-26,4000000.0
Robin Roefs,Sunderland AFC,2025-26,25000000.0
Melker Ellborg,Sunderland AFC,2025-26,3000000.0
Simon Moore,Sunderland AFC,2025-26,100000.0
Dan Ballard,Sunderland AFC,2025-26,20000000.0
Omar Alderete,Sunderland AFC,2025-26,15000000.0
Luke O'Nien,Sunderland AFC,2025-26,1000000.0
Dennis Cirkin,Sunderland AFC,2025-26,8000000.0
Reinildo Mandava,Sunderland AFC,2025-26,5000000.0
Trai Hume,Sunderland AFC,2025-26,22000000.0
Lutsharel Geertruida,Sunderland AFC,2025-26,20000000.0
Nordi Mukiele,Sunderland AFC,2025-26,18000000.0
Granit Xhaka,Sunderland AFC,2025-26,10000000.0
Habib Diarra,Sunderland AFC,2025-26,32000000.0
Noah Sadiki,Sunderland AFC,2025-26,30000000.0
Enzo Le Fée,Sunderland AFC,2025-26,25000000.0
Abdoullah Ba,Sunderland AFC,2025-26,2000000.0
Chris Rigg,Sunderland AFC,2025-26,25000000.0
Milan Aleksic,Sunderland AFC,2025-26,700000.0
Harrison Jones,Sunderland AFC,2025-26,150000.0
Nilson Angulo,Sunderland AFC,2025-26,17000000.0
Romaine Mundle,Sunderland AFC,2025-26,8000000.0
Chemsdine Talbi,Sunderland AFC,2025-26,25000000.0
Bertrand Traoré,Sunderland AFC,2025-26,5000000.0
Jocelin Ta Bi,Sunderland AFC,2025-26,3000000.0
Brian Brobbey,Sunderland AFC,2025-26,25000000.0
Eliezer Mayenda,Sunderland AFC,2025-26,18000000.0
Wilson Isidor,Sunderland AFC,2025-26,18000000.0
Ahmed Abdullahi,Sunderland AFC,2025-26,1000000.0
Mads Hermansen,West Ham United,2025-26,15000000.0
Alphonse Areola,West Ham United,2025-26,5000000.0
Lukasz Fabianski,West Ham United,2025-26,250000.0
Jean-Clair Todibo,West Ham United,2025-26,23000000.0
Maximilian Kilman,West Ham United,2025-26,16000000.0
Axel Disasi,West Ham United,2025-26,15000000.0
Konstantinos Mavropanos,West Ham United,2025-26,15000000.0
Ezra Mayers,West Ham United,2025-26,1200000.0
El Hadji Malick Diouf,West Ham United,2025-26,28000000.0
Oliver Scarles,West Ham United,2025-26,10000000.0
Aaron Wan-Bissaka,West Ham United,2025-26,22000000.0
Kyle Walker-Peters,West Ham United,2025-26,13000000.0
Soungoutou Magassa,West Ham United,2025-26,17000000.0
Tomáš Souček,West Ham United,2025-26,12000000.0
Freddie Potts,West Ham United,2025-26,10000000.0
Mateus Fernandes,West Ham United,2025-26,35000000.0
Crysencio Summerville,West Ham United,2025-26,30000000.0
Keiber Lamadrid,West Ham United,2025-26,1200000.0
